0(-0.003016, -0.006331, -0.004399)
0(0.005926, 0.003438, -0.003075)
0(0.006101, 0.006331, -0.002223)
0(-0.000587, 0.022428, 0.001694)
0(-0.005328, 0.006793, -0.008213)
0(-0.00173, 0.00044, -0.00154)
0(0.001743, 0.003636, 0.00751)
0(0.00209, 0.005154, 0.007697)
0(-0.004342, 0.011293, 0.001728)
0(0.009864, 0.005919, 0.010232)
0(0.015835, -0.007072, 0.019944)
0(0.010684, -0.007892, 0.003671)
0(-0.009709, 0.006635, -0.014003)
0(-0.009593, 0.005932, -0.040439)
0(0.003352, -0.009945, -0.037095)
0(-0.000383, -0.00794, -0.004668)
0(-0.002673, -0.003908, 0.007916)
0(-0.001944, -0.000151, 0.021389)
0(-0.00738, 0.009804, 0.023215)
0(0.002136, -0.008121, 0.022439)
0(0.009554, -0.013505, 0.005597)
0(0.007183, -0.000872, -0.006386)
0(-0.001916, 0.009493, -0.036803)
0(-0.007377, 0.004303, -0.02308)
0(-0.015587, 0.003065, 0.002003)
0(-0.003953, -0.005202, 0.015768)
0(-0.008299, 0.009778, 0.017623)
0(-0.007536, 0.004331, 0.001044)
0(-0.001712, -0.00292, 0.000344)
0(0.009409, 0.001145, 0.013207)
0(0.010282, 0.004904, 0.003476)
0(0.016835, -0.000947, 0.004179)
0(0.005516, 0.005174, 0.003292)
0(0.002946, -0.004272, 0.006317)
0(-0.000663, -0.006654, 0.008056)
0(-0.006773, -0.002342, 0.004877)
0(-0.002833, -0.00239, 0.00432)
0(-0.010343, 0.006467, -0.00316)
0(-0.010375, -0.006538, -0.015883)
0(-0.004869, 0.005094, -0.004223)
0(0.009333, -0.003802, -0.006649)
0(-0.001701, 0.004649, -0.024615)
0(-0.000889, -0.000254, -0.02258)
0(0.003743, 0.000453, 0.007322)
0(0.004446, -0.004505, 0.025161)
0(0.002361, -0.008594, 0.005151)
0(-0.002878, 0.003452, -0.003796)
0(-0.002923, 0.006093, 0.000818)
0(0.004258, -0.002264, 0.001519)
0(0.010725, -0.009088, 0.008055)
0(0.024783, -0.00498, 0.012781)
0(0.019722, 0.001418, 0.013493)
0(0.006044, 0.00086, -0.005836)
0(-0.01185, -0.004225, -0.023097)
0(-0.021064, 0.002212, -0.014285)
0(-0.020069, 0.003335, -0.008374)
0(-0.021885, 0.007518, -0.01401)
0(-0.014882, 0.009853, -0.016969)
0(0.001626, -0.000691, -0.001218)
0(0.022436, -0.003183, 0.004189)
0(0.024996, -0.003432, 0.013113)
0(0.006571, 0.003249, 0.011849)
0(-0.012994, 0.006073, 0.022501)
0(-0.009442, -0.004183, 0.016381)
0(-0.008608, -0.010238, -0.000757)
0(-0.007806, 0.002569, -0.009895)
0(0.000417, -0.008126, -0.008654)
0(-0.009299, 0.003499, -0.01284)
0(-0.014582, 0.006816, -0.005356)
0(0.006206, -0.00339, 0.005212)
