0(-4.612808, -1.420247, -9.19448)
0(-4.509822, -1.343606, -9.086704)
0(-4.500242, -1.353186, -9.014853)
0(-4.794829, -1.417852, -8.885523)
0(-5.007986, -1.496887, -8.727451)
0(-5.395979, -1.544788, -8.404124)
0(-5.4822, -1.650169, -9.002879)
0(-5.49178, -1.604663, -9.565708)
0(-5.379214, -1.530418, -9.093889)
0(-5.170847, -1.501677, -8.756192)
0(-4.88584, -1.487307, -8.952583)
0(-4.655918, -1.432222, -9.402847)
0(-4.411626, -1.326841, -9.304651)
0(-4.200864, -1.247805, -8.926238)
0(-4.081113, -1.295706, -8.284373)
0(-4.552932, -1.24541, -8.344249)
0(-4.986431, -1.420247, -8.710687)
0(-5.446275, -1.434617, -8.883128)
0(-5.575606, -1.470542, -8.878338)
0(-5.360054, -1.312471, -8.873548)
0(-5.024751, -1.23104, -9.007668)
0(-4.873865, -1.140029, -9.022039)
0(-4.89063, -1.140029, -8.978929)
0(-5.197193, -1.271755, -8.780142)
0(-5.273833, -1.312471, -8.789722)
0(-5.44388, -1.300496, -8.976534)
0(-5.350474, -1.334026, -8.828042)
0(-5.249883, -1.319656, -8.351434)
0(-5.194798, -1.350791, -8.361013)
0(-5.309759, -1.355581, -8.744217)
0(-5.345684, -1.290916, -8.988508)
0(-5.391189, -1.135239, -9.017249)
0(-5.415139, -1.060994, -8.902288)
0(-5.42951, -1.022673, -8.993299)
0(-5.470225, -1.005908, -9.15616)
0(-5.525311, -1.025068, -9.239985)
0(-5.558841, -1.058599, -8.938213)
0(-5.5301, -1.037043, -8.662786)
0(-5.374424, -1.049019, -8.576566)
0(-5.285809, -1.092129, -8.557405)
0(-5.295388, -1.092129, -8.416099)
0(-5.302574, -1.123264, -8.452024)
0(-5.336104, -1.080154, -8.693921)
0(-5.336104, -1.058599, -8.758587)
0(-5.314548, -1.063389, -8.782537)
0(-5.446275, -1.080154, -8.55022)
0(-5.42951, -1.080154, -8.600515)
0(-5.41993, -1.034649, -8.840017)
0(-5.424719, -1.046624, -8.974138)
0(-5.338499, -1.077759, -8.986114)
0(-5.228328, -1.060994, -8.871153)
0(-5.266648, -1.008303, -8.655601)
0(-5.295388, -1.017883, -8.681946)
0(-5.247488, -1.089734, -8.823253)
0(-5.276228, -1.065784, -8.665181)
0(-5.225933, -1.089734, -8.789722)
0(-5.168452, -1.025068, -9.045989)
0(-5.178032, -0.996328, -8.878338)
0(-5.190008, -1.041834, -8.686736)
0(-5.321733, -1.046624, -8.655601)
0(-5.446275, -1.058599, -8.926238)
0(-5.343289, -1.130449, -8.943004)
0(-5.319339, -1.044229, -8.763377)
0(-5.209167, -1.096919, -8.746612)
0(-5.218748, -1.089734, -8.729847)
0(-5.362449, -1.017883, -8.55022)
0(-5.422325, -1.096919, -8.56938)
0(-5.386399, -1.1544, -8.693921)
0(-5.321733, -1.068179, -8.729847)
0(-5.249883, -1.094524, -8.787327)
0(-5.204378, -1.096919, -8.705896)
0(-5.357659, -1.022673, -8.643626)
0(-5.374424, -1.092129, -8.883128)
0(-5.393584, -1.053809, -8.813672)
0(-5.374424, -1.049019, -8.792117)
0(-5.292994, -1.056204, -8.708291)
0(-5.228328, -1.046624, -8.629255)
0(-5.302574, -1.068179, -8.715476)
0(-5.328918, -1.077759, -8.868757)
0(-5.350474, -1.056204, -8.847202)
0(-5.252278, -1.092129, -8.830438)
0(-5.206773, -1.058599, -8.792117)
0(-5.252278, -1.058599, -8.636441)
0(-5.374424, -1.053809, -8.528665)
0(-5.364844, -1.080154, -8.703502)
0(-5.348079, -1.092129, -8.907078)
0(-5.213958, -1.099314, -8.816068)
0(-5.216353, -1.084944, -8.626861)
0(-5.228328, -1.137634, -8.646021)
0(-5.213958, -1.128054, -8.765772)
0(-5.163662, -1.068179, -8.720266)
0(-5.168452, -1.051414, -8.672366)
0(-5.213958, -1.060994, -8.677156)
0(-5.290598, -1.008303, -8.744217)
0(-5.288203, -0.969983, -8.916658)
0(-5.247488, -0.941243, -9.012459)
0(-5.247488, -0.941243, -9.012459)
0(-5.252278, -0.910107, -9.014853)
0(-5.292994, -0.958008, -8.933423)
0(-5.381609, -0.948428, -8.741821)
0(-5.381609, -0.948428, -8.741821)
0(-5.328918, -0.979563, -8.744217)
0(-5.362449, -0.969983, -8.844808)
0(-5.424719, -0.974773, -8.890313)
0(-5.431904, -1.025068, -8.832832)
0(-5.417534, -0.981958, -8.634046)
0(-5.424719, -0.991538, -8.519085)
0(-5.44388, -1.008303, -8.6077)
0(-5.40556, -0.993933, -8.732242)
0(-5.384004, -0.991538, -8.784932)
0(-5.324129, -0.981958, -8.600515)
0(-5.276228, -0.912502, -8.394544)
0(-5.266648, -0.902922, -8.514295)
0(-5.336104, -0.833467, -8.653206)
0(-5.336104, -0.833467, -8.653206)
